valid,tau,mfe,mae,speed,early_impulse,efficiency,risk_ratio,extension,drawdown_ratio,direction,timestamp_start,opportunity_id,composite_score,rank
True,3,2.80000000000058,0.0,0.8333333333333334,1.0,1.0,280.000000000058,1.120000000000232,0.0,SHORT,2024-01-15T13:01:00.000000000Z,2024-01-15T13:01:00.000000000Z_SHORT,0.5039187227866385,89
True,3,2.80000000000058,0.0,0.8333333333333334,1.0,1.0,280.000000000058,1.120000000000232,0.0,LONG,2024-01-15T14:54:00.000000000Z,2024-01-15T14:54:00.000000000Z_LONG,0.5039187227866385,90
True,3,2.80000000000058,0.0,0.8333333333333334,1.0,1.0,280.000000000058,1.120000000000232,0.0,LONG,2024-01-15T15:02:00.000000000Z,2024-01-15T15:02:00.000000000Z_LONG,0.5039187227866385,91
True,4,3.6999999999998145,0.0,0.625,1.0,1.0,369.99999999998147,1.4799999999999258,0.0,SHORT,2024-01-15T09:30:00.000000000Z,2024-01-15T09:30:00.000000000Z_SHORT,0.5015239477503278,92
True,4,3.6999999999998145,0.0,0.625,1.0,1.0,369.99999999998147,1.4799999999999258,0.0,LONG,2024-01-15T11:53:00.000000000Z,2024-01-15T11:53:00.000000000Z_LONG,0.5015239477503278,93
True,3,2.700000000002145,0.0,0.8333333333333334,1.0,1.0,270.0000000002145,1.080000000000858,0.0,LONG,2024-01-15T12:47:00.000000000Z,2024-01-15T12:47:00.000000000Z_LONG,0.5013546202225768,94
True,3,2.6999999999999247,0.0,0.8333333333333334,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,LONG,2024-01-15T11:34:00.000000000Z,2024-01-15T11:34:00.000000000Z_LONG,0.50135462022252,95
True,3,2.6999999999999247,0.0,0.8333333333333334,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,SHORT,2024-01-15T15:08:00.000000000Z,2024-01-15T15:08:00.000000000Z_SHORT,0.50135462022252,96
True,3,2.6999999999999247,0.0,0.8333333333333334,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,LONG,2024-01-15T15:12:00.000000000Z,2024-01-15T15:12:00.000000000Z_LONG,0.50135462022252,97
True,3,2.6999999999999247,0.0,0.8333333333333334,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,SHORT,2024-01-15T15:34:00.000000000Z,2024-01-15T15:34:00.000000000Z_SHORT,0.50135462022252,98
True,4,3.60000000000138,0.0,0.625,1.0,1.0,360.00000000013796,1.440000000000552,0.0,SHORT,2024-01-15T10:00:00.000000000Z,2024-01-15T10:00:00.000000000Z_SHORT,0.4989598451862661,99
True,4,3.60000000000138,0.0,0.625,1.0,1.0,360.00000000013796,1.440000000000552,0.0,SHORT,2024-01-15T15:07:00.000000000Z,2024-01-15T15:07:00.000000000Z_SHORT,0.4989598451862661,100
True,3,2.60000000000149,0.0,0.8333333333333334,1.0,1.0,260.000000000149,1.040000000000596,0.0,LONG,2024-01-15T12:10:00.000000000Z,2024-01-15T12:10:00.000000000Z_LONG,0.4987905176584582,101
True,3,2.5999999999992696,0.0,0.8333333333333334,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,SHORT,2024-01-15T11:49:00.000000000Z,2024-01-15T11:49:00.000000000Z_SHORT,0.4987905176584013,102
True,3,2.5999999999992696,0.0,0.8333333333333334,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,LONG,2024-01-15T12:07:00.000000000Z,2024-01-15T12:07:00.000000000Z_LONG,0.4987905176584013,103
True,3,2.5999999999992696,0.0,0.8333333333333334,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,LONG,2024-01-15T12:08:00.000000000Z,2024-01-15T12:08:00.000000000Z_LONG,0.4987905176584013,104
True,3,2.500000000000835,0.0,0.8333333333333334,1.0,1.0,250.00000000008347,1.000000000000334,0.0,LONG,2024-01-15T10:54:00.000000000Z,2024-01-15T10:54:00.000000000Z_LONG,0.4962264150943396,105
True,3,2.500000000000835,0.0,0.8333333333333334,1.0,1.0,250.00000000008347,1.000000000000334,0.0,SHORT,2024-01-15T15:35:00.000000000Z,2024-01-15T15:35:00.000000000Z_SHORT,0.4962264150943396,106
True,5,4.00000000000178,0.0,0.5,1.0,1.0,400.000000000178,1.600000000000712,0.0,LONG,2024-01-15T10:46:00.000000000Z,2024-01-15T10:46:00.000000000Z_LONG,0.4939332365747591,107
True,4,3.4000000000000696,0.0,0.625,1.0,1.0,340.00000000000693,1.3600000000000279,0.0,LONG,2024-01-15T09:51:00.000000000Z,2024-01-15T09:51:00.000000000Z_LONG,0.4938316400580289,108
True,4,3.300000000001635,0.0,0.625,1.0,1.0,330.0000000001635,1.320000000000654,0.0,SHORT,2024-01-15T10:06:00.000000000Z,2024-01-15T10:06:00.000000000Z_SHORT,0.4912675374939672,109
True,3,3.5000000000007248,0.0,0.8333333333333334,1.0,0.8974358974353135,350.0000000000725,1.40000000000029,0.0,LONG,2024-01-15T12:01:00.000000000Z,2024-01-15T12:01:00.000000000Z_LONG,0.4885937376940204,110
True,4,3.00000000000189,0.0,0.625,1.0,1.0,300.000000000189,1.200000000000756,0.0,SHORT,2024-01-15T15:33:00.000000000Z,2024-01-15T15:33:00.000000000Z_SHORT,0.4835752298016682,111
True,3,2.80000000000058,0.0,0.8333333333333334,1.0,0.9333333333343202,280.000000000058,1.120000000000232,0.0,LONG,2024-01-15T13:16:00.000000000Z,2024-01-15T13:16:00.000000000Z_LONG,0.4822908158102144,112
True,5,3.5000000000007248,0.0,0.5,1.0,1.0,350.0000000000725,1.40000000000029,0.0,SHORT,2024-01-15T15:32:00.000000000Z,2024-01-15T15:32:00.000000000Z_SHORT,0.481112723754223,113
True,4,2.900000000001235,0.0,0.625,1.0,1.0,290.00000000012346,1.160000000000494,0.0,LONG,2024-01-15T12:09:00.000000000Z,2024-01-15T12:09:00.000000000Z_LONG,0.48101112723754963,114
True,4,2.6999999999999247,0.0,0.625,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,SHORT,2024-01-15T09:14:00.000000000Z,2024-01-15T09:14:00.000000000Z_SHORT,0.4758829221093124,115
True,4,2.6999999999999247,0.0,0.625,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,LONG,2024-01-15T10:52:00.000000000Z,2024-01-15T10:52:00.000000000Z_LONG,0.4758829221093124,116
True,3,2.80000000000058,0.10000000000065512,0.8333333333333334,1.0,0.9333333333329386,25.454545454399128,1.120000000000232,0.04000000000026205,LONG,2024-01-15T16:24:00.000000000Z,2024-01-15T16:24:00.000000000Z_LONG,0.4742908158097093,117
True,4,2.60000000000149,0.0,0.625,1.0,1.0,260.000000000149,1.040000000000596,0.0,LONG,2024-01-15T15:38:00.000000000Z,2024-01-15T15:38:00.000000000Z_LONG,0.4733188195452507,118
True,4,2.60000000000149,0.0,0.625,1.0,1.0,260.000000000149,1.040000000000596,0.0,LONG,2024-01-15T16:44:00.000000000Z,2024-01-15T16:44:00.000000000Z_LONG,0.4733188195452507,119
True,4,2.5999999999992696,0.0,0.625,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,LONG,2024-01-15T10:53:00.000000000Z,2024-01-15T10:53:00.000000000Z_LONG,0.4733188195451938,120
True,4,2.5999999999992696,0.0,0.625,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,LONG,2024-01-15T11:52:00.000000000Z,2024-01-15T11:52:00.000000000Z_LONG,0.4733188195451938,121
True,4,2.5999999999992696,0.0,0.625,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,SHORT,2024-01-15T13:11:00.000000000Z,2024-01-15T13:11:00.000000000Z_SHORT,0.4733188195451938,122
True,4,2.5999999999992696,0.0,0.625,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,SHORT,2024-01-15T14:17:00.000000000Z,2024-01-15T14:17:00.000000000Z_SHORT,0.4733188195451938,123
True,3,3.00000000000189,0.0,0.8333333333333334,1.0,0.8823529411770085,300.000000000189,1.200000000000756,0.0,LONG,2024-01-15T11:22:00.000000000Z,2024-01-15T11:22:00.000000000Z_LONG,0.47088003325020733,124
